id,category,text
1,Order Status,"Customers can check their order status using their order ID. Orders that are still being processed will show a processing status."
2,Delivery,"Standard delivery normally takes 3–5 business days after the order has been dispatched."
3,Order Cancellation,"Customers can cancel an order before it has been dispatched. Once an order is dispatched, cancellation may not be available."
4,Refund,"Refund requests can be submitted for eligible cancelled or returned orders. Refund processing normally takes 5–7 business days."
5,Product Return,"Customers can request a product return if the item meets the return policy requirements."
6,Address Change,"The delivery address can be changed before the order is dispatched. Address changes may not be possible after dispatch."
7,Payment,"If a payment fails, customers should verify their payment details and try again. If the problem continues, customer support should be contacted."
8,Product Information,"Customers can request product specifications, features, availability, and other product information by providing the product name or product ID."
9,Customer Support,"Customer support can help with orders, deliveries, cancellations, refunds, returns, payments, addresses, and product information."
10,Order Tracking,"Customers can track dispatched orders using the tracking information associated with their order."
11,Delivery Delay,"If an order is delayed beyond the expected delivery period, customers should check the tracking status or contact customer support."
12,Account,"Customers should keep their account information and contact details updated to receive important order and delivery notifications."
13,Security,"Customers should never share passwords, OTPs, card PINs, or other sensitive authentication information with anyone."
14,Working Hours,"Customer support is available during standard business hours for assistance with orders and account-related questions."
15,Escalation,"If an issue cannot be resolved through standard support procedures, customers can request escalation to a support representative."
